0.5027
17  r    conf  1.0
16  r  31 18 12  conf  0.9317
31  r  16 18 12  conf  0.9744
18  r  31 16  conf  0.9178
16  r  31 18  conf  0.9322
31  r  16 18  conf  0.9749
16  r  31  conf  0.9348
31  r  16  conf  0.9772
31  r    conf  1.0
17  r  21  conf  0.8891
21  r  17  conf  0.9999
17  r  21 12  conf  0.8876
12  r  21 17  conf  0.889
21  r  12 17  conf  0.9982
12  r  21  conf  0.8891
21  r  12  conf  0.9983
17  r  21 18  conf  0.8862
18  r  21 17  conf  0.889
21  r  18 17  conf  0.9967
17  r  21 18 12  conf  0.8857
12  r  21 18 17  conf  0.8861
18  r  21 12 17  conf  0.8875
21  r  18 12 17  conf  0.9962
12  r  21 18  conf  0.8862
18  r  21 12  conf  0.8876
21  r  18 12  conf  0.9963
18  r  21  conf  0.8891
21  r  18  conf  0.9968
17  r  21 16  conf  0.8682
16  r  21 17  conf  0.889
21  r  16 17  conf  0.9771
17  r  21 16 12  conf  0.8676
12  r  21 16 17  conf  0.8681
16  r  21 12 17  conf  0.8875
21  r  16 12 17  conf  0.9763
12  r  21 16  conf  0.8682
16  r  21 12  conf  0.8876
21  r  16 12  conf  0.9764
17  r  21 16 18  conf  0.8662
18  r  21 16 17  conf  0.8681
16  r  21 18 17  conf  0.8861
21  r  16 18 17  conf  0.9748
17  r  21 16 18 12  conf  0.8658
12  r  21 16 18 17  conf  0.8661
18  r  21 16 12 17  conf  0.8675
16  r  21 18 12 17  conf  0.8857
21  r  16 18 12 17  conf  0.9744
12  r  21 16 18  conf  0.8662
18  r  21 16 12  conf  0.8676
16  r  21 18 12  conf  0.8857
21  r  16 18 12  conf  0.9744
18  r  21 16  conf  0.8682
16  r  21 18  conf  0.8862
21  r  16 18  conf  0.9749
16  r  21  conf  0.8891
21  r  16  conf  0.9772
17  r  21 31  conf  0.8353
31  r  21 17  conf  0.889
21  r  31 17  conf  0.9348
17  r  21 31 12  conf  0.834
12  r  21 31 17  conf  0.8352
31  r  21 12 17  conf  0.8875
21  r  31 12 17  conf  0.9334
12  r  21 31  conf  0.8353
31  r  21 12  conf  0.8876
21  r  31 12  conf  0.9334
17  r  21 31 18  conf  0.8329
18  r  21 31 17  conf  0.8352
31  r  21 18 17  conf  0.8861
21  r  31 18 17  conf  0.9321
17  r  21 31 18 12  conf  0.8325
12  r  21 31 18 17  conf  0.8328
18  r  21 31 12 17  conf  0.834
31  r  21 18 12 17  conf  0.8857
21  r  31 18 12 17  conf  0.9317
12  r  21 31 18  conf  0.8329
18  r  21 31 12  conf  0.834
31  r  21 18 12  conf  0.8857
21  r  31 18 12  conf  0.9317
18  r  21 31  conf  0.8353
31  r  21 18  conf  0.8862
21  r  31 18  conf  0.9322
17  r  21 31 16  conf  0.8195
16  r  21 31 17  conf  0.8352
31  r  21 16 17  conf  0.8681
21  r  31 16 17  conf  0.9177
17  r  21 31 16 12  conf  0.819
12  r  21 31 16 17  conf  0.8194
16  r  21 31 12 17  conf  0.834
31  r  21 16 12 17  conf  0.8675
21  r  31 16 12 17  conf  0.9171
12  r  21 31 16  conf  0.8195
16  r  21 31 12  conf  0.834
31  r  21 16 12  conf  0.8676
21  r  31 16 12  conf  0.9172
17  r  21 31 16 18  conf  0.8178
18  r  21 31 16 17  conf  0.8194
16  r  21 31 18 17  conf  0.8328
31  r  21 16 18 17  conf  0.8661
21  r  31 16 18 17  conf  0.9158
17  r  21 31 16 18 12  conf  0.8174
12  r  21 31 16 18 17  conf  0.8177
18  r  21 31 16 12 17  conf  0.8189
16  r  21 31 18 12 17  conf  0.8324
31  r  21 16 18 12 17  conf  0.8657
21  r  31 16 18 12 17  conf  0.9154
12  r  21 31 16 18  conf  0.8178
18  r  21 31 16 12  conf  0.819
16  r  21 31 18 12  conf  0.8325
31  r  21 16 18 12  conf  0.8658
21  r  31 16 18 12  conf  0.9155
18  r  21 31 16  conf  0.8195
16  r  21 31 18  conf  0.8329
31  r  21 16 18  conf  0.8662
21  r  31 16 18  conf  0.9159
16  r  21 31  conf  0.8353
31  r  21 16  conf  0.8682
21  r  31 16  conf  0.9178
31  r  21  conf  0.8891
21  r  31  conf  0.9348
21  r    conf  1.0
17  r  29  conf  0.8795
29  r  17  conf  0.9999
17  r  29 12  conf  0.878
12  r  29 17  conf  0.8794
29  r  12 17  conf  0.9982
12  r  29  conf  0.8795
29  r  12  conf  0.9983
17  r  29 18  conf  0.8766
18  r  29 17  conf  0.8794
29  r  18 17  conf  0.9967
17  r  29 18 12  conf  0.8761
12  r  29 18 17  conf  0.8765
18  r  29 12 17  conf  0.8779
29  r  18 12 17  conf  0.9962
12  r  29 18  conf  0.8766
18  r  29 12  conf  0.878
29  r  18 12  conf  0.9963
18  r  29  conf  0.8795
29  r  18  conf  0.9968
17  r  29 16  conf  0.8582
16  r  29 17  conf  0.8794
29  r  16 17  conf  0.9771
17  r  29 16 12  conf  0.8576
12  r  29 16 17  conf  0.8581
16  r  29 12 17  conf  0.8779
29  r  16 12 17  conf  0.9763
12  r  29 16  conf  0.8582
16  r  29 12  conf  0.878
29  r  16 12  conf  0.9764
17  r  29 16 18  conf  0.8561
18  r  29 16 17  conf  0.8581
16  r  29 18 17  conf  0.8765
29  r  16 18 17  conf  0.9748
17  r  29 16 18 12  conf  0.8557
12  r  29 16 18 17  conf  0.856
18  r  29 16 12 17  conf  0.8575
16  r  29 18 12 17  conf  0.876
29  r  16 18 12 17  conf  0.9744
12  r  29 16 18  conf  0.8561
18  r  29 16 12  conf  0.8576
16  r  29 18 12  conf  0.8761
29  r  16 18 12  conf  0.9744
18  r  29 16  conf  0.8582
16  r  29 18  conf  0.8766
29  r  16 18  conf  0.9749
16  r  29  conf  0.8795
29  r  16  conf  0.9772
17  r  29 31  conf  0.8221
31  r  29 17  conf  0.8794
29  r  31 17  conf  0.9348
17  r  29 31 12  conf  0.8209
12  r  29 31 17  conf  0.8221
31  r  29 12 17  conf  0.8779
29  r  31 12 17  conf  0.9334
12  r  29 31  conf  0.8221
31  r  29 12  conf  0.878
29  r  31 12  conf  0.9334
17  r  29 31 18  conf  0.8197
18  r  29 31 17  conf  0.8221
31  r  29 18 17  conf  0.8765
29  r  31 18 17  conf  0.9321
17  r  29 31 18 12  conf  0.8193
12  r  29 31 18 17  conf  0.8196
18  r  29 31 12 17  conf  0.8208
31  r  29 18 12 17  conf  0.876
29  r  31 18 12 17  conf  0.9317
12  r  29 31 18  conf  0.8197
18  r  29 31 12  conf  0.8209
31  r  29 18 12  conf  0.8761
29  r  31 18 12  conf  0.9317
18  r  29 31  conf  0.8221
31  r  29 18  conf  0.8766
29  r  31 18  conf  0.9322
17  r  29 31 16  conf  0.8061
16  r  29 31 17  conf  0.8221
31  r  29 16 17  conf  0.8581
29  r  31 16 17  conf  0.9177
17  r  29 31 16 12  conf  0.8056
12  r  29 31 16 17  conf  0.806
16  r  29 31 12 17  conf  0.8208
31  r  29 16 12 17  conf  0.8575
29  r  31 16 12 17  conf  0.9171
12  r  29 31 16  conf  0.8061
16  r  29 31 12  conf  0.8209
31  r  29 16 12  conf  0.8576
29  r  31 16 12  conf  0.9172
17  r  29 31 16 18  conf  0.8043
18  r  29 31 16 17  conf  0.806
16  r  29 31 18 17  conf  0.8196
31  r  29 16 18 17  conf  0.856
29  r  31 16 18 17  conf  0.9158
17  r  29 31 16 18 12  conf  0.804
12  r  29 31 16 18 17  conf  0.8042
18  r  29 31 16 12 17  conf  0.8055
16  r  29 31 18 12 17  conf  0.8192
31  r  29 16 18 12 17  conf  0.8556
29  r  31 16 18 12 17  conf  0.9154
12  r  29 31 16 18  conf  0.8043
18  r  29 31 16 12  conf  0.8056
16  r  29 31 18 12  conf  0.8193
31  r  29 16 18 12  conf  0.8557
29  r  31 16 18 12  conf  0.9155
18  r  29 31 16  conf  0.8061
16  r  29 31 18  conf  0.8197
31  r  29 16 18  conf  0.8561
29  r  31 16 18  conf  0.9159
16  r  29 31  conf  0.8221
31  r  29 16  conf  0.8582
29  r  31 16  conf  0.9178
31  r  29  conf  0.8795
29  r  31  conf  0.9348
17  r  29 21  conf  0.7898
21  r  29 17  conf  0.8794
29  r  21 17  conf  0.889
17  r  29 21 12  conf  0.7884
12  r  29 21 17  conf  0.7897
21  r  29 12 17  conf  0.8779
29  r  21 12 17  conf  0.8875
12  r  29 21  conf  0.7898
21  r  29 12  conf  0.878
29  r  21 12  conf  0.8876
17  r  29 21 18  conf  0.7871
18  r  29 21 17  conf  0.7897
21  r  29 18 17  conf  0.8765
29  r  21 18 17  conf  0.8861
17  r  29 21 18 12  conf  0.7867
12  r  29 21 18 17  conf  0.787
18  r  29 21 12 17  conf  0.7883
21  r  29 18 12 17  conf  0.876
29  r  21 18 12 17  conf  0.8857
12  r  29 21 18  conf  0.7871
18  r  29 21 12  conf  0.7884
21  r  29 18 12  conf  0.8761
29  r  21 18 12  conf  0.8857
18  r  29 21  conf  0.7898
21  r  29 18  conf  0.8766
29  r  21 18  conf  0.8862
17  r  29 21 16  conf  0.7703
16  r  29 21 17  conf  0.7897
21  r  29 16 17  conf  0.8581
29  r  21 16 17  conf  0.8681
17  r  29 21 16 12  conf  0.7697
12  r  29 21 16 17  conf  0.7702
16  r  29 21 12 17  conf  0.7883
21  r  29 16 12 17  conf  0.8575
29  r  21 16 12 17  conf  0.8675
12  r  29 21 16  conf  0.7703
16  r  29 21 12  conf  0.7884
21  r  29 16 12  conf  0.8576
29  r  21 16 12  conf  0.8676
17  r  29 21 16 18  conf  0.7684
18  r  29 21 16 17  conf  0.7702
16  r  29 21 18 17  conf  0.787
21  r  29 16 18 17  conf  0.856
29  r  21 16 18 17  conf  0.8661
17  r  29 21 16 18 12  conf  0.768
12  r  29 21 16 18 17  conf  0.7683
18  r  29 21 16 12 17  conf  0.7696
16  r  29 21 18 12 17  conf  0.7866
21  r  29 16 18 12 17  conf  0.8556
29  r  21 16 18 12 17  conf  0.8657
12  r  29 21 16 18  conf  0.7684
18  r  29 21 16 12  conf  0.7697
16  r  29 21 18 12  conf  0.7867
21  r  29 16 18 12  conf  0.8557
29  r  21 16 18 12  conf  0.8658
18  r  29 21 16  conf  0.7703
16  r  29 21 18  conf  0.7871
21  r  29 16 18  conf  0.8561
29  r  21 16 18  conf  0.8662
16  r  29 21  conf  0.7898
21  r  29 16  conf  0.8582
29  r  21 16  conf  0.8682
17  r  29 21 31  conf  0.742
31  r  29 21 17  conf  0.7897
21  r  29 31 17  conf  0.8221
29  r  21 31 17  conf  0.8352
17  r  29 21 31 12  conf  0.7408
12  r  29 21 31 17  conf  0.7419
31  r  29 21 12 17  conf  0.7883
21  r  29 31 12 17  conf  0.8208
29  r  21 31 12 17  conf  0.834
12  r  29 21 31  conf  0.742
31  r  29 21 12  conf  0.7884
21  r  29 31 12  conf  0.8209
29  r  21 31 12  conf  0.834
17  r  29 21 31 18  conf  0.7397
18  r  29 21 31 17  conf  0.7419
31  r  29 21 18 17  conf  0.787
21  r  29 31 18 17  conf  0.8196
29  r  21 31 18 17  conf  0.8328
17  r  29 21 31 18 12  conf  0.7394
12  r  29 21 31 18 17  conf  0.7397
18  r  29 21 31 12 17  conf  0.7408
31  r  29 21 18 12 17  conf  0.7866
21  r  29 31 18 12 17  conf  0.8192
29  r  21 31 18 12 17  conf  0.8324
12  r  29 21 31 18  conf  0.7397
18  r  29 21 31 12  conf  0.7408
31  r  29 21 18 12  conf  0.7867
21  r  29 31 18 12  conf  0.8193
29  r  21 31 18 12  conf  0.8325
18  r  29 21 31  conf  0.742
31  r  29 21 18  conf  0.7871
21  r  29 31 18  conf  0.8197
29  r  21 31 18  conf  0.8329
17  r  29 21 31 16  conf  0.727
16  r  29 21 31 17  conf  0.7419
31  r  29 21 16 17  conf  0.7702
21  r  29 31 16 17  conf  0.806
29  r  21 31 16 17  conf  0.8194
17  r  29 21 31 16 12  conf  0.7266
12  r  29 21 31 16 17  conf  0.727
16  r  29 21 31 12 17  conf  0.7408
31  r  29 21 16 12 17  conf  0.7696
21  r  29 31 16 12 17  conf  0.8055
29  r  21 31 16 12 17  conf  0.8189
12  r  29 21 31 16  conf  0.727
16  r  29 21 31 12  conf  0.7408
31  r  29 21 16 12  conf  0.7697
21  r  29 31 16 12  conf  0.8056
29  r  21 31 16 12  conf  0.819
17  r  29 21 31 16 18  conf  0.7254
18  r  29 21 31 16 17  conf  0.727
16  r  29 21 31 18 17  conf  0.7397
31  r  29 21 16 18 17  conf  0.7683
21  r  29 31 16 18 17  conf  0.8042
29  r  21 31 16 18 17  conf  0.8177
17  r  29 21 31 16 18 12  conf  0.7251
12  r  29 21 31 16 18 17  conf  0.7254
18  r  29 21 31 16 12 17  conf  0.7265
16  r  29 21 31 18 12 17  conf  0.7393
31  r  29 21 16 18 12 17  conf  0.7679
21  r  29 31 16 18 12 17  conf  0.8039
29  r  21 31 16 18 12 17  conf  0.8174
12  r  29 21 31 16 18  conf  0.7254
18  r  29 21 31 16 12  conf  0.7266
16  r  29 21 31 18 12  conf  0.7394
31  r  29 21 16 18 12  conf  0.768
21  r  29 31 16 18 12  conf  0.804
29  r  21 31 16 18 12  conf  0.8174
18  r  29 21 31 16  conf  0.727
16  r  29 21 31 18  conf  0.7397
31  r  29 21 16 18  conf  0.7684
21  r  29 31 16 18  conf  0.8043
29  r  21 31 16 18  conf  0.8178
16  r  29 21 31  conf  0.742
31  r  29 21 16  conf  0.7703
21  r  29 31 16  conf  0.8061
29  r  21 31 16  conf  0.8195
31  r  29 21  conf  0.7898
21  r  29 31  conf  0.8221
29  r  21 31  conf  0.8353
21  r  29  conf  0.8795
29  r  21  conf  0.8891
29  r    conf  1.0
17  r  43  conf  0.8566
43  r  17  conf  0.9999
17  r  43 12  conf  0.8551
12  r  43 17  conf  0.8565
43  r  12 17  conf  0.9982
12  r  43  conf  0.8566
43  r  12  conf  0.9983
17  r  43 18  conf  0.8539
18  r  43 17  conf  0.8565
43  r  18 17  conf  0.9967
17  r  43 18 12  conf  0.8535
12  r  43 18 17  conf  0.8538
18  r  43 12 17  conf  0.855
43  r  18 12 17  conf  0.9962
12  r  43 18  conf  0.8539
18  r  43 12  conf  0.8551
43  r  18 12  conf  0.9963
18  r  43  conf  0.8566
43  r  18  conf  0.9968
17  r  43 16  conf  0.8384
16  r  43 17  conf  0.8565
43  r  16 17  conf  0.9771
17  r  43 16 12  conf  0.8378
12  r  43 16 17  conf  0.8383
16  r  43 12 17  conf  0.855
43  r  16 12 17  conf  0.9763
12  r  43 16  conf  0.8384
16  r  43 12  conf  0.8551
43  r  16 12  conf  0.9764
17  r  43 16 18  conf  0.8366
18  r  43 16 17  conf  0.8383
16  r  43 18 17  conf  0.8538
43  r  16 18 17  conf  0.9748
17  r  43 16 18 12  conf  0.8362
12  r  43 16 18 17  conf  0.8365
18  r  43 16 12 17  conf  0.8377
16  r  43 18 12 17  conf  0.8534
43  r  16 18 12 17  conf  0.9744
12  r  43 16 18  conf  0.8366
18  r  43 16 12  conf  0.8378
16  r  43 18 12  conf  0.8535
43  r  16 18 12  conf  0.9744
18  r  43 16  conf  0.8384
16  r  43 18  conf  0.8539
43  r  16 18  conf  0.9749
16  r  43  conf  0.8566
43  r  16  conf  0.9772
17  r  43 31  conf  0.8029
31  r  43 17  conf  0.8565
43  r  31 17  conf  0.9348
17  r  43 31 12  conf  0.8017
12  r  43 31 17  conf  0.8028
31  r  43 12 17  conf  0.855
43  r  31 12 17  conf  0.9334
12  r  43 31  conf  0.8029
31  r  43 12  conf  0.8551
43  r  31 12  conf  0.9334
17  r  43 31 18  conf  0.8006
18  r  43 31 17  conf  0.8028
31  r  43 18 17  conf  0.8538
43  r  31 18 17  conf  0.9321
17  r  43 31 18 12  conf  0.8003
12  r  43 31 18 17  conf  0.8006
18  r  43 31 12 17  conf  0.8016
31  r  43 18 12 17  conf  0.8534
43  r  31 18 12 17  conf  0.9317
12  r  43 31 18  conf  0.8006
18  r  43 31 12  conf  0.8017
31  r  43 18 12  conf  0.8535
43  r  31 18 12  conf  0.9317
18  r  43 31  conf  0.8029
31  r  43 18  conf  0.8539
43  r  31 18  conf  0.9322
17  r  43 31 16  conf  0.7892
16  r  43 31 17  conf  0.8028
31  r  43 16 17  conf  0.8383
43  r  31 16 17  conf  0.9177
17  r  43 31 16 12  conf  0.7887
12  r  43 31 16 17  conf  0.7891
16  r  43 31 12 17  conf  0.8016
31  r  43 16 12 17  conf  0.8377
43  r  31 16 12 17  conf  0.9171
12  r  43 31 16  conf  0.7892
16  r  43 31 12  conf  0.8017
31  r  43 16 12  conf  0.8378
43  r  31 16 12  conf  0.9172
17  r  43 31 16 18  conf  0.7876
18  r  43 31 16 17  conf  0.7891
16  r  43 31 18 17  conf  0.8006
31  r  43 16 18 17  conf  0.8365
43  r  31 16 18 17  conf  0.9158
17  r  43 31 16 18 12  conf  0.7873
12  r  43 31 16 18 17  conf  0.7875
18  r  43 31 16 12 17  conf  0.7886
16  r  43 31 18 12 17  conf  0.8002
31  r  43 16 18 12 17  conf  0.8361
43  r  31 16 18 12 17  conf  0.9154
12  r  43 31 16 18  conf  0.7876
18  r  43 31 16 12  conf  0.7887
16  r  43 31 18 12  conf  0.8003
31  r  43 16 18 12  conf  0.8362
43  r  31 16 18 12  conf  0.9155
18  r  43 31 16  conf  0.7892
16  r  43 31 18  conf  0.8006
31  r  43 16 18  conf  0.8366
43  r  31 16 18  conf  0.9159
16  r  43 31  conf  0.8029
31  r  43 16  conf  0.8384
43  r  31 16  conf  0.9178
31  r  43  conf  0.8566
43  r  31  conf  0.9348
17  r  43 21  conf  0.7596
21  r  43 17  conf  0.8565
43  r  21 17  conf  0.889
17  r  43 21 12  conf  0.7583
12  r  43 21 17  conf  0.7595
21  r  43 12 17  conf  0.855
43  r  21 12 17  conf  0.8875
12  r  43 21  conf  0.7596
21  r  43 12  conf  0.8551
43  r  21 12  conf  0.8876
17  r  43 21 18  conf  0.7572
18  r  43 21 17  conf  0.7595
21  r  43 18 17  conf  0.8538
43  r  21 18 17  conf  0.8861
17  r  43 21 18 12  conf  0.7568
12  r  43 21 18 17  conf  0.7572
18  r  43 21 12 17  conf  0.7582
21  r  43 18 12 17  conf  0.8534
43  r  21 18 12 17  conf  0.8857
12  r  43 21 18  conf  0.7572
18  r  43 21 12  conf  0.7583
21  r  43 18 12  conf  0.8535
43  r  21 18 12  conf  0.8857
18  r  43 21  conf  0.7596
21  r  43 18  conf  0.8539
43  r  21 18  conf  0.8862
17  r  43 21 16  conf  0.743
16  r  43 21 17  conf  0.7595
21  r  43 16 17  conf  0.8383
43  r  21 16 17  conf  0.8681
17  r  43 21 16 12  conf  0.7424
12  r  43 21 16 17  conf  0.7429
16  r  43 21 12 17  conf  0.7582
21  r  43 16 12 17  conf  0.8377
43  r  21 16 12 17  conf  0.8675
12  r  43 21 16  conf  0.743
16  r  43 21 12  conf  0.7583
21  r  43 16 12  conf  0.8378
43  r  21 16 12  conf  0.8676
17  r  43 21 16 18  conf  0.7413
18  r  43 21 16 17  conf  0.7429
16  r  43 21 18 17  conf  0.7572
21  r  43 16 18 17  conf  0.8365
43  r  21 16 18 17  conf  0.8661
17  r  43 21 16 18 12  conf  0.7409
12  r  43 21 16 18 17  conf  0.7412
18  r  43 21 16 12 17  conf  0.7423
16  r  43 21 18 12 17  conf  0.7567
21  r  43 16 18 12 17  conf  0.8361
43  r  21 16 18 12 17  conf  0.8657
12  r  43 21 16 18  conf  0.7413
18  r  43 21 16 12  conf  0.7424
16  r  43 21 18 12  conf  0.7568
21  r  43 16 18 12  conf  0.8362
43  r  21 16 18 12  conf  0.8658
18  r  43 21 16  conf  0.743
16  r  43 21 18  conf  0.7572
21  r  43 16 18  conf  0.8366
43  r  21 16 18  conf  0.8662
16  r  43 21  conf  0.7596
21  r  43 16  conf  0.8384
43  r  21 16  conf  0.8682
17  r  43 21 31  conf  0.7156
31  r  43 21 17  conf  0.7595
21  r  43 31 17  conf  0.8028
43  r  21 31 17  conf  0.8352
17  r  43 21 31 12  conf  0.7145
12  r  43 21 31 17  conf  0.7155
31  r  43 21 12 17  conf  0.7582
21  r  43 31 12 17  conf  0.8016
43  r  21 31 12 17  conf  0.834
12  r  43 21 31  conf  0.7156
31  r  43 21 12  conf  0.7583
21  r  43 31 12  conf  0.8017
43  r  21 31 12  conf  0.834
17  r  43 21 31 18  conf  0.7136
18  r  43 21 31 17  conf  0.7155
31  r  43 21 18 17  conf  0.7572
21  r  43 31 18 17  conf  0.8006
43  r  21 31 18 17  conf  0.8328
17  r  43 21 31 18 12  conf  0.7132
12  r  43 21 31 18 17  conf  0.7135
18  r  43 21 31 12 17  conf  0.7144
31  r  43 21 18 12 17  conf  0.7567
21  r  43 31 18 12 17  conf  0.8002
43  r  21 31 18 12 17  conf  0.8324
12  r  43 21 31 18  conf  0.7136
18  r  43 21 31 12  conf  0.7145
31  r  43 21 18 12  conf  0.7568
21  r  43 31 18 12  conf  0.8003
43  r  21 31 18 12  conf  0.8325
18  r  43 21 31  conf  0.7156
31  r  43 21 18  conf  0.7572
21  r  43 31 18  conf  0.8006
43  r  21 31 18  conf  0.8329
17  r  43 21 31 16  conf  0.7029
16  r  43 21 31 17  conf  0.7155
31  r  43 21 16 17  conf  0.7429
21  r  43 31 16 17  conf  0.7891
43  r  21 31 16 17  conf  0.8194
17  r  43 21 31 16 12  conf  0.7024
12  r  43 21 31 16 17  conf  0.7028
16  r  43 21 31 12 17  conf  0.7144
31  r  43 21 16 12 17  conf  0.7423
21  r  43 31 16 12 17  conf  0.7886
43  r  21 31 16 12 17  conf  0.8189
12  r  43 21 31 16  conf  0.7029
16  r  43 21 31 12  conf  0.7145
31  r  43 21 16 12  conf  0.7424
21  r  43 31 16 12  conf  0.7887
43  r  21 31 16 12  conf  0.819
17  r  43 21 31 16 18  conf  0.7015
18  r  43 21 31 16 17  conf  0.7028
16  r  43 21 31 18 17  conf  0.7135
31  r  43 21 16 18 17  conf  0.7412
21  r  43 31 16 18 17  conf  0.7875
43  r  21 31 16 18 17  conf  0.8177
17  r  43 21 31 16 18 12  conf  0.7011
12  r  43 21 31 16 18 17  conf  0.7014
18  r  43 21 31 16 12 17  conf  0.7023
16  r  43 21 31 18 12 17  conf  0.7132
31  r  43 21 16 18 12 17  conf  0.7409
21  r  43 31 16 18 12 17  conf  0.7872
43  r  21 31 16 18 12 17  conf  0.8174
12  r  43 21 31 16 18  conf  0.7015
18  r  43 21 31 16 12  conf  0.7024
16  r  43 21 31 18 12  conf  0.7132
31  r  43 21 16 18 12  conf  0.7409
21  r  43 31 16 18 12  conf  0.7873
43  r  21 31 16 18 12  conf  0.8174
18  r  43 21 31 16  conf  0.7029
16  r  43 21 31 18  conf  0.7136
31  r  43 21 16 18  conf  0.7413
21  r  43 31 16 18  conf  0.7876
43  r  21 31 16 18  conf  0.8178
16  r  43 21 31  conf  0.7156
31  r  43 21 16  conf  0.743
21  r  43 31 16  conf  0.7892
43  r  21 31 16  conf  0.8195
31  r  43 21  conf  0.7596
21  r  43 31  conf  0.8029
43  r  21 31  conf  0.8353
21  r  43  conf  0.8566
43  r  21  conf  0.8891
17  r  43 29  conf  0.7531
29  r  43 17  conf  0.8565
43  r  29 17  conf  0.8794
17  r  43 29 12  conf  0.7518
12  r  43 29 17  conf  0.753
29  r  43 12 17  conf  0.855
43  r  29 12 17  conf  0.8779
12  r  43 29  conf  0.7531
29  r  43 12  conf  0.8551
43  r  29 12  conf  0.878
17  r  43 29 18  conf  0.7507
18  r  43 29 17  conf  0.753
29  r  43 18 17  conf  0.8538
43  r  29 18 17  conf  0.8765
17  r  43 29 18 12  conf  0.7503
12  r  43 29 18 17  conf  0.7506
18  r  43 29 12 17  conf  0.7517
29  r  43 18 12 17  conf  0.8534
43  r  29 18 12 17  conf  0.876
12  r  43 29 18  conf  0.7507
18  r  43 29 12  conf  0.7518
29  r  43 18 12  conf  0.8535
43  r  29 18 12  conf  0.8761
18  r  43 29  conf  0.7531
29  r  43 18  conf  0.8539
43  r  29 18  conf  0.8766
17  r  43 29 16  conf  0.7362
16  r  43 29 17  conf  0.753
29  r  43 16 17  conf  0.8383
43  r  29 16 17  conf  0.8581
17  r  43 29 16 12  conf  0.7357
12  r  43 29 16 17  conf  0.7361
16  r  43 29 12 17  conf  0.7517
29  r  43 16 12 17  conf  0.8377
43  r  29 16 12 17  conf  0.8575
12  r  43 29 16  conf  0.7362
16  r  43 29 12  conf  0.7518
29  r  43 16 12  conf  0.8378
43  r  29 16 12  conf  0.8576
17  r  43 29 16 18  conf  0.7345
18  r  43 29 16 17  conf  0.7361
16  r  43 29 18 17  conf  0.7506
29  r  43 16 18 17  conf  0.8365
43  r  29 16 18 17  conf  0.856
17  r  43 29 16 18 12  conf  0.7341
12  r  43 29 16 18 17  conf  0.7344
18  r  43 29 16 12 17  conf  0.7356
16  r  43 29 18 12 17  conf  0.7502
29  r  43 16 18 12 17  conf  0.8361
43  r  29 16 18 12 17  conf  0.8556
12  r  43 29 16 18  conf  0.7345
18  r  43 29 16 12  conf  0.7357
16  r  43 29 18 12  conf  0.7503
29  r  43 16 18 12  conf  0.8362
43  r  29 16 18 12  conf  0.8557
18  r  43 29 16  conf  0.7362
16  r  43 29 18  conf  0.7507
29  r  43 16 18  conf  0.8366
43  r  29 16 18  conf  0.8561
16  r  43 29  conf  0.7531
29  r  43 16  conf  0.8384
43  r  29 16  conf  0.8582
17  r  43 29 31  conf  0.7058
31  r  43 29 17  conf  0.753
