0.4471
17  r    conf  1.0
16  r  31 18 12  conf  0.9317
31  r  16 18 12  conf  0.9744
18  r  31 16  conf  0.9178
16  r  31 18  conf  0.9322
31  r  16 18  conf  0.9749
16  r  31  conf  0.9348
31  r  16  conf  0.9772
31  r    conf  1.0
21  r  17  conf  0.9999
21  r  12 17  conf  0.9982
21  r  12  conf  0.9983
21  r  18 17  conf  0.9967
21  r  18 12 17  conf  0.9962
21  r  18 12  conf  0.9963
21  r  18  conf  0.9968
21  r  16 17  conf  0.9771
21  r  16 12 17  conf  0.9763
21  r  16 12  conf  0.9764
21  r  16 18 17  conf  0.9748
21  r  16 18 12 17  conf  0.9744
21  r  16 18 12  conf  0.9744
21  r  16 18  conf  0.9749
21  r  16  conf  0.9772
21  r  31 17  conf  0.9348
21  r  31 12 17  conf  0.9334
21  r  31 12  conf  0.9334
21  r  31 18 17  conf  0.9321
21  r  31 18 12 17  conf  0.9317
21  r  31 18 12  conf  0.9317
21  r  31 18  conf  0.9322
21  r  31 16 17  conf  0.9177
21  r  31 16 12 17  conf  0.9171
21  r  31 16 12  conf  0.9172
21  r  31 16 18 17  conf  0.9158
21  r  31 16 18 12 17  conf  0.9154
21  r  31 16 18 12  conf  0.9155
21  r  31 16 18  conf  0.9159
21  r  31 16  conf  0.9178
21  r  31  conf  0.9348
21  r    conf  1.0
29  r  17  conf  0.9999
29  r  12 17  conf  0.9982
29  r  12  conf  0.9983
29  r  18 17  conf  0.9967
29  r  18 12 17  conf  0.9962
29  r  18 12  conf  0.9963
29  r  18  conf  0.9968
29  r  16 17  conf  0.9771
29  r  16 12 17  conf  0.9763
29  r  16 12  conf  0.9764
29  r  16 18 17  conf  0.9748
29  r  16 18 12 17  conf  0.9744
29  r  16 18 12  conf  0.9744
29  r  16 18  conf  0.9749
29  r  16  conf  0.9772
29  r  31 17  conf  0.9348
29  r  31 12 17  conf  0.9334
29  r  31 12  conf  0.9334
29  r  31 18 17  conf  0.9321
29  r  31 18 12 17  conf  0.9317
29  r  31 18 12  conf  0.9317
29  r  31 18  conf  0.9322
29  r  31 16 17  conf  0.9177
29  r  31 16 12 17  conf  0.9171
29  r  31 16 12  conf  0.9172
29  r  31 16 18 17  conf  0.9158
29  r  31 16 18 12 17  conf  0.9154
29  r  31 16 18 12  conf  0.9155
29  r  31 16 18  conf  0.9159
29  r  31 16  conf  0.9178
29  r  31  conf  0.9348
29  r    conf  1.0
43  r  17  conf  0.9999
43  r  12 17  conf  0.9982
43  r  12  conf  0.9983
43  r  18 17  conf  0.9967
43  r  18 12 17  conf  0.9962
43  r  18 12  conf  0.9963
43  r  18  conf  0.9968
43  r  16 17  conf  0.9771
43  r  16 12 17  conf  0.9763
43  r  16 12  conf  0.9764
43  r  16 18 17  conf  0.9748
43  r  16 18 12 17  conf  0.9744
43  r  16 18 12  conf  0.9744
43  r  16 18  conf  0.9749
43  r  16  conf  0.9772
43  r  31 17  conf  0.9348
43  r  31 12 17  conf  0.9334
43  r  31 12  conf  0.9334
43  r  31 18 17  conf  0.9321
43  r  31 18 12 17  conf  0.9317
43  r  31 18 12  conf  0.9317
43  r  31 18  conf  0.9322
43  r  31 16 17  conf  0.9177
43  r  31 16 12 17  conf  0.9171
43  r  31 16 12  conf  0.9172
43  r  31 16 18 17  conf  0.9158
43  r  31 16 18 12 17  conf  0.9154
43  r  31 16 18 12  conf  0.9155
43  r  31 16 18  conf  0.9159
43  r  31 16  conf  0.9178
43  r  31  conf  0.9348
43  r    conf  1.0
27  r  17  conf  0.9999
27  r  12 17  conf  0.9982
27  r  12  conf  0.9983
27  r  18 17  conf  0.9967
27  r  18 12 17  conf  0.9962
27  r  18 12  conf  0.9963
27  r  18  conf  0.9968
27  r  16 17  conf  0.9771
27  r  16 12 17  conf  0.9763
27  r  16 12  conf  0.9764
27  r  16 18 17  conf  0.9748
27  r  16 18 12 17  conf  0.9744
27  r  16 18 12  conf  0.9744
27  r  16 18  conf  0.9749
27  r  16  conf  0.9772
27  r  31 17  conf  0.9348
27  r  31 12 17  conf  0.9334
27  r  31 12  conf  0.9334
27  r  31 18 17  conf  0.9321
27  r  31 18 12 17  conf  0.9317
27  r  31 18 12  conf  0.9317
27  r  31 18  conf  0.9322
27  r  31 16 17  conf  0.9177
27  r  31 16 12 17  conf  0.9171
27  r  31 16 12  conf  0.9172
27  r  31 16 18 17  conf  0.9158
27  r  31 16 18 12 17  conf  0.9154
27  r  31 16 18 12  conf  0.9155
27  r  31 16 18  conf  0.9159
27  r  31 16  conf  0.9178
27  r  31  conf  0.9348
27  r    conf  1.0
24  r  17  conf  0.9999
24  r  12 17  conf  0.9982
24  r  12  conf  0.9983
24  r  18 17  conf  0.9967
24  r  18 12 17  conf  0.9962
24  r  18 12  conf  0.9963
24  r  18  conf  0.9968
24  r  16 17  conf  0.9771
24  r  16 12 17  conf  0.9763
24  r  16 12  conf  0.9764
24  r  16 18 17  conf  0.9748
24  r  16 18 12 17  conf  0.9744
24  r  16 18 12  conf  0.9744
24  r  16 18  conf  0.9749
24  r  16  conf  0.9772
24  r  31 17  conf  0.9348
24  r  31 12 17  conf  0.9334
24  r  31 12  conf  0.9334
24  r  31 18 17  conf  0.9321
24  r  31 18 12 17  conf  0.9317
24  r  31 18 12  conf  0.9317
24  r  31 18  conf  0.9322
24  r  31 16 17  conf  0.9177
24  r  31 16 12 17  conf  0.9171
24  r  31 16 12  conf  0.9172
24  r  31 16 18 17  conf  0.9158
24  r  31 16 18 12 17  conf  0.9154
24  r  31 16 18 12  conf  0.9155
24  r  31 16 18  conf  0.9159
24  r  31 16  conf  0.9178
24  r  31  conf  0.9348
24  r    conf  1.0
15  r  17  conf  0.9999
15  r  12 17  conf  0.9982
15  r  12  conf  0.9983
15  r  18 17  conf  0.9967
15  r  18 12 17  conf  0.9962
15  r  18 12  conf  0.9963
15  r  18  conf  0.9968
15  r  16 17  conf  0.9771
15  r  16 12 17  conf  0.9763
15  r  16 12  conf  0.9764
15  r  16 18 17  conf  0.9748
15  r  16 18 12 17  conf  0.9744
15  r  16 18 12  conf  0.9744
15  r  16 18  conf  0.9749
15  r  16  conf  0.9772
15  r  31 17  conf  0.9348
15  r  31 12 17  conf  0.9334
15  r  31 12  conf  0.9334
15  r  31 18 17  conf  0.9321
15  r  31 18 12 17  conf  0.9317
15  r  31 18 12  conf  0.9317
15  r  31 18  conf  0.9322
15  r  31 16 17  conf  0.9177
15  r  31 16 12 17  conf  0.9171
15  r  31 16 12  conf  0.9172
15  r  31 16 18 17  conf  0.9158
15  r  31 16 18 12 17  conf  0.9154
15  r  31 16 18 12  conf  0.9155
15  r  31 16 18  conf  0.9159
15  r  31 16  conf  0.9178
15  r  31  conf  0.9348
15  r    conf  1.0
28  r  31 17  conf  0.9348
28  r  31 12 17  conf  0.9334
28  r  31 12  conf  0.9334
28  r  31 18 17  conf  0.9321
28  r  31 18 12 17  conf  0.9317
28  r  31 18 12  conf  0.9317
28  r  31 18  conf  0.9322
28  r  31 16 17  conf  0.9177
28  r  31 16 12 17  conf  0.9171
28  r  31 16 12  conf  0.9172
28  r  31 16 18 17  conf  0.9158
28  r  31 16 18 12 17  conf  0.9154
28  r  31 16 18 12  conf  0.9155
28  r  31 16 18  conf  0.9159
28  r  31 16  conf  0.9178
28  r  31  conf  0.9348
41  r  31 17  conf  0.9348
41  r  31 12 17  conf  0.9334
41  r  31 12  conf  0.9334
41  r  31 18 17  conf  0.9321
41  r  31 18 12 17  conf  0.9317
41  r  31 18 12  conf  0.9317
41  r  31 18  conf  0.9322
41  r  31 16 17  conf  0.9177
41  r  31 16 12 17  conf  0.9171
41  r  31 16 12  conf  0.9172
41  r  31 16 18 17  conf  0.9158
41  r  31 16 18 12 17  conf  0.9154
41  r  31 16 18 12  conf  0.9155
41  r  31 16 18  conf  0.9159
41  r  31 16  conf  0.9178
41  r  31  conf  0.9348
