0.5006
17  r    conf  1.0
16  r  31 18 12  conf  0.9317
31  r  16 18 12  conf  0.9744
18  r  31 16  conf  0.9178
16  r  31 18  conf  0.9322
31  r  16 18  conf  0.9749
16  r  31  conf  0.9348
31  r  16  conf  0.9772
31  r    conf  1.0
17  r  21  conf  0.8891
21  r  17  conf  0.9999
17  r  21 12  conf  0.8876
12  r  21 17  conf  0.889
21  r  12 17  conf  0.9982
12  r  21  conf  0.8891
21  r  12  conf  0.9983
17  r  21 18  conf  0.8862
18  r  21 17  conf  0.889
21  r  18 17  conf  0.9967
17  r  21 18 12  conf  0.8857
12  r  21 18 17  conf  0.8861
18  r  21 12 17  conf  0.8875
21  r  18 12 17  conf  0.9962
12  r  21 18  conf  0.8862
18  r  21 12  conf  0.8876
21  r  18 12  conf  0.9963
18  r  21  conf  0.8891
21  r  18  conf  0.9968
17  r  21 16  conf  0.8682
16  r  21 17  conf  0.889
21  r  16 17  conf  0.9771
17  r  21 16 12  conf  0.8676
12  r  21 16 17  conf  0.8681
16  r  21 12 17  conf  0.8875
21  r  16 12 17  conf  0.9763
12  r  21 16  conf  0.8682
16  r  21 12  conf  0.8876
21  r  16 12  conf  0.9764
17  r  21 16 18  conf  0.8662
18  r  21 16 17  conf  0.8681
16  r  21 18 17  conf  0.8861
21  r  16 18 17  conf  0.9748
17  r  21 16 18 12  conf  0.8658
12  r  21 16 18 17  conf  0.8661
18  r  21 16 12 17  conf  0.8675
16  r  21 18 12 17  conf  0.8857
21  r  16 18 12 17  conf  0.9744
12  r  21 16 18  conf  0.8662
18  r  21 16 12  conf  0.8676
16  r  21 18 12  conf  0.8857
21  r  16 18 12  conf  0.9744
18  r  21 16  conf  0.8682
16  r  21 18  conf  0.8862
21  r  16 18  conf  0.9749
16  r  21  conf  0.8891
21  r  16  conf  0.9772
17  r  21 31  conf  0.8353
31  r  21 17  conf  0.889
21  r  31 17  conf  0.9348
17  r  21 31 12  conf  0.834
12  r  21 31 17  conf  0.8352
31  r  21 12 17  conf  0.8875
21  r  31 12 17  conf  0.9334
12  r  21 31  conf  0.8353
31  r  21 12  conf  0.8876
21  r  31 12  conf  0.9334
17  r  21 31 18  conf  0.8329
18  r  21 31 17  conf  0.8352
31  r  21 18 17  conf  0.8861
21  r  31 18 17  conf  0.9321
17  r  21 31 18 12  conf  0.8325
12  r  21 31 18 17  conf  0.8328
18  r  21 31 12 17  conf  0.834
31  r  21 18 12 17  conf  0.8857
21  r  31 18 12 17  conf  0.9317
12  r  21 31 18  conf  0.8329
18  r  21 31 12  conf  0.834
31  r  21 18 12  conf  0.8857
21  r  31 18 12  conf  0.9317
18  r  21 31  conf  0.8353
31  r  21 18  conf  0.8862
21  r  31 18  conf  0.9322
17  r  21 31 16  conf  0.8195
16  r  21 31 17  conf  0.8352
31  r  21 16 17  conf  0.8681
21  r  31 16 17  conf  0.9177
17  r  21 31 16 12  conf  0.819
12  r  21 31 16 17  conf  0.8194
16  r  21 31 12 17  conf  0.834
31  r  21 16 12 17  conf  0.8675
21  r  31 16 12 17  conf  0.9171
12  r  21 31 16  conf  0.8195
16  r  21 31 12  conf  0.834
31  r  21 16 12  conf  0.8676
21  r  31 16 12  conf  0.9172
17  r  21 31 16 18  conf  0.8178
18  r  21 31 16 17  conf  0.8194
16  r  21 31 18 17  conf  0.8328
31  r  21 16 18 17  conf  0.8661
21  r  31 16 18 17  conf  0.9158
17  r  21 31 16 18 12  conf  0.8174
12  r  21 31 16 18 17  conf  0.8177
18  r  21 31 16 12 17  conf  0.8189
16  r  21 31 18 12 17  conf  0.8324
31  r  21 16 18 12 17  conf  0.8657
21  r  31 16 18 12 17  conf  0.9154
12  r  21 31 16 18  conf  0.8178
18  r  21 31 16 12  conf  0.819
16  r  21 31 18 12  conf  0.8325
31  r  21 16 18 12  conf  0.8658
21  r  31 16 18 12  conf  0.9155
18  r  21 31 16  conf  0.8195
16  r  21 31 18  conf  0.8329
31  r  21 16 18  conf  0.8662
21  r  31 16 18  conf  0.9159
16  r  21 31  conf  0.8353
31  r  21 16  conf  0.8682
21  r  31 16  conf  0.9178
31  r  21  conf  0.8891
21  r  31  conf  0.9348
21  r    conf  1.0
17  r  29  conf  0.8795
29  r  17  conf  0.9999
17  r  29 12  conf  0.878
12  r  29 17  conf  0.8794
29  r  12 17  conf  0.9982
12  r  29  conf  0.8795
29  r  12  conf  0.9983
17  r  29 18  conf  0.8766
18  r  29 17  conf  0.8794
29  r  18 17  conf  0.9967
17  r  29 18 12  conf  0.8761
12  r  29 18 17  conf  0.8765
18  r  29 12 17  conf  0.8779
29  r  18 12 17  conf  0.9962
12  r  29 18  conf  0.8766
18  r  29 12  conf  0.878
29  r  18 12  conf  0.9963
18  r  29  conf  0.8795
29  r  18  conf  0.9968
17  r  29 16  conf  0.8582
16  r  29 17  conf  0.8794
29  r  16 17  conf  0.9771
17  r  29 16 12  conf  0.8576
12  r  29 16 17  conf  0.8581
16  r  29 12 17  conf  0.8779
29  r  16 12 17  conf  0.9763
12  r  29 16  conf  0.8582
16  r  29 12  conf  0.878
29  r  16 12  conf  0.9764
17  r  29 16 18  conf  0.8561
18  r  29 16 17  conf  0.8581
16  r  29 18 17  conf  0.8765
29  r  16 18 17  conf  0.9748
17  r  29 16 18 12  conf  0.8557
12  r  29 16 18 17  conf  0.856
18  r  29 16 12 17  conf  0.8575
16  r  29 18 12 17  conf  0.876
29  r  16 18 12 17  conf  0.9744
12  r  29 16 18  conf  0.8561
18  r  29 16 12  conf  0.8576
16  r  29 18 12  conf  0.8761
29  r  16 18 12  conf  0.9744
18  r  29 16  conf  0.8582
16  r  29 18  conf  0.8766
29  r  16 18  conf  0.9749
16  r  29  conf  0.8795
29  r  16  conf  0.9772
17  r  29 31  conf  0.8221
31  r  29 17  conf  0.8794
29  r  31 17  conf  0.9348
17  r  29 31 12  conf  0.8209
12  r  29 31 17  conf  0.8221
31  r  29 12 17  conf  0.8779
29  r  31 12 17  conf  0.9334
12  r  29 31  conf  0.8221
31  r  29 12  conf  0.878
29  r  31 12  conf  0.9334
17  r  29 31 18  conf  0.8197
18  r  29 31 17  conf  0.8221
31  r  29 18 17  conf  0.8765
29  r  31 18 17  conf  0.9321
17  r  29 31 18 12  conf  0.8193
12  r  29 31 18 17  conf  0.8196
18  r  29 31 12 17  conf  0.8208
31  r  29 18 12 17  conf  0.876
29  r  31 18 12 17  conf  0.9317
12  r  29 31 18  conf  0.8197
18  r  29 31 12  conf  0.8209
31  r  29 18 12  conf  0.8761
29  r  31 18 12  conf  0.9317
18  r  29 31  conf  0.8221
31  r  29 18  conf  0.8766
29  r  31 18  conf  0.9322
17  r  29 31 16  conf  0.8061
16  r  29 31 17  conf  0.8221
31  r  29 16 17  conf  0.8581
29  r  31 16 17  conf  0.9177
17  r  29 31 16 12  conf  0.8056
12  r  29 31 16 17  conf  0.806
16  r  29 31 12 17  conf  0.8208
31  r  29 16 12 17  conf  0.8575
29  r  31 16 12 17  conf  0.9171
12  r  29 31 16  conf  0.8061
16  r  29 31 12  conf  0.8209
31  r  29 16 12  conf  0.8576
29  r  31 16 12  conf  0.9172
17  r  29 31 16 18  conf  0.8043
18  r  29 31 16 17  conf  0.806
16  r  29 31 18 17  conf  0.8196
31  r  29 16 18 17  conf  0.856
29  r  31 16 18 17  conf  0.9158
17  r  29 31 16 18 12  conf  0.804
12  r  29 31 16 18 17  conf  0.8042
18  r  29 31 16 12 17  conf  0.8055
16  r  29 31 18 12 17  conf  0.8192
31  r  29 16 18 12 17  conf  0.8556
29  r  31 16 18 12 17  conf  0.9154
12  r  29 31 16 18  conf  0.8043
18  r  29 31 16 12  conf  0.8056
16  r  29 31 18 12  conf  0.8193
31  r  29 16 18 12  conf  0.8557
29  r  31 16 18 12  conf  0.9155
18  r  29 31 16  conf  0.8061
16  r  29 31 18  conf  0.8197
31  r  29 16 18  conf  0.8561
29  r  31 16 18  conf  0.9159
16  r  29 31  conf  0.8221
31  r  29 16  conf  0.8582
29  r  31 16  conf  0.9178
31  r  29  conf  0.8795
29  r  31  conf  0.9348
21  r  29 17  conf  0.8794
29  r  21 17  conf  0.889
21  r  29 12 17  conf  0.8779
29  r  21 12 17  conf  0.8875
21  r  29 12  conf  0.878
29  r  21 12  conf  0.8876
21  r  29 18 17  conf  0.8765
29  r  21 18 17  conf  0.8861
21  r  29 18 12 17  conf  0.876
29  r  21 18 12 17  conf  0.8857
21  r  29 18 12  conf  0.8761
29  r  21 18 12  conf  0.8857
21  r  29 18  conf  0.8766
29  r  21 18  conf  0.8862
21  r  29 16 17  conf  0.8581
29  r  21 16 17  conf  0.8681
21  r  29 16 12 17  conf  0.8575
29  r  21 16 12 17  conf  0.8675
21  r  29 16 12  conf  0.8576
29  r  21 16 12  conf  0.8676
21  r  29 16 18 17  conf  0.856
29  r  21 16 18 17  conf  0.8661
21  r  29 16 18 12 17  conf  0.8556
29  r  21 16 18 12 17  conf  0.8657
21  r  29 16 18 12  conf  0.8557
29  r  21 16 18 12  conf  0.8658
21  r  29 16 18  conf  0.8561
29  r  21 16 18  conf  0.8662
21  r  29 16  conf  0.8582
29  r  21 16  conf  0.8682
21  r  29 31 17  conf  0.8221
29  r  21 31 17  conf  0.8352
21  r  29 31 12 17  conf  0.8208
29  r  21 31 12 17  conf  0.834
21  r  29 31 12  conf  0.8209
29  r  21 31 12  conf  0.834
21  r  29 31 18 17  conf  0.8196
29  r  21 31 18 17  conf  0.8328
21  r  29 31 18 12 17  conf  0.8192
29  r  21 31 18 12 17  conf  0.8324
21  r  29 31 18 12  conf  0.8193
29  r  21 31 18 12  conf  0.8325
21  r  29 31 18  conf  0.8197
29  r  21 31 18  conf  0.8329
21  r  29 31 16 17  conf  0.806
29  r  21 31 16 17  conf  0.8194
21  r  29 31 16 12 17  conf  0.8055
29  r  21 31 16 12 17  conf  0.8189
21  r  29 31 16 12  conf  0.8056
29  r  21 31 16 12  conf  0.819
21  r  29 31 16 18 17  conf  0.8042
29  r  21 31 16 18 17  conf  0.8177
21  r  29 31 16 18 12 17  conf  0.8039
29  r  21 31 16 18 12 17  conf  0.8174
21  r  29 31 16 18 12  conf  0.804
29  r  21 31 16 18 12  conf  0.8174
21  r  29 31 16 18  conf  0.8043
29  r  21 31 16 18  conf  0.8178
21  r  29 31 16  conf  0.8061
29  r  21 31 16  conf  0.8195
21  r  29 31  conf  0.8221
29  r  21 31  conf  0.8353
21  r  29  conf  0.8795
29  r  21  conf  0.8891
29  r    conf  1.0
17  r  43  conf  0.8566
43  r  17  conf  0.9999
17  r  43 12  conf  0.8551
12  r  43 17  conf  0.8565
43  r  12 17  conf  0.9982
12  r  43  conf  0.8566
43  r  12  conf  0.9983
17  r  43 18  conf  0.8539
18  r  43 17  conf  0.8565
43  r  18 17  conf  0.9967
17  r  43 18 12  conf  0.8535
12  r  43 18 17  conf  0.8538
18  r  43 12 17  conf  0.855
43  r  18 12 17  conf  0.9962
12  r  43 18  conf  0.8539
18  r  43 12  conf  0.8551
43  r  18 12  conf  0.9963
18  r  43  conf  0.8566
43  r  18  conf  0.9968
17  r  43 16  conf  0.8384
16  r  43 17  conf  0.8565
43  r  16 17  conf  0.9771
17  r  43 16 12  conf  0.8378
12  r  43 16 17  conf  0.8383
16  r  43 12 17  conf  0.855
43  r  16 12 17  conf  0.9763
12  r  43 16  conf  0.8384
16  r  43 12  conf  0.8551
43  r  16 12  conf  0.9764
17  r  43 16 18  conf  0.8366
18  r  43 16 17  conf  0.8383
16  r  43 18 17  conf  0.8538
43  r  16 18 17  conf  0.9748
17  r  43 16 18 12  conf  0.8362
12  r  43 16 18 17  conf  0.8365
18  r  43 16 12 17  conf  0.8377
16  r  43 18 12 17  conf  0.8534
43  r  16 18 12 17  conf  0.9744
12  r  43 16 18  conf  0.8366
18  r  43 16 12  conf  0.8378
16  r  43 18 12  conf  0.8535
43  r  16 18 12  conf  0.9744
18  r  43 16  conf  0.8384
16  r  43 18  conf  0.8539
43  r  16 18  conf  0.9749
16  r  43  conf  0.8566
43  r  16  conf  0.9772
17  r  43 31  conf  0.8029
31  r  43 17  conf  0.8565
43  r  31 17  conf  0.9348
17  r  43 31 12  conf  0.8017
12  r  43 31 17  conf  0.8028
31  r  43 12 17  conf  0.855
43  r  31 12 17  conf  0.9334
12  r  43 31  conf  0.8029
31  r  43 12  conf  0.8551
43  r  31 12  conf  0.9334
17  r  43 31 18  conf  0.8006
18  r  43 31 17  conf  0.8028
31  r  43 18 17  conf  0.8538
43  r  31 18 17  conf  0.9321
17  r  43 31 18 12  conf  0.8003
12  r  43 31 18 17  conf  0.8006
18  r  43 31 12 17  conf  0.8016
31  r  43 18 12 17  conf  0.8534
43  r  31 18 12 17  conf  0.9317
12  r  43 31 18  conf  0.8006
18  r  43 31 12  conf  0.8017
31  r  43 18 12  conf  0.8535
43  r  31 18 12  conf  0.9317
18  r  43 31  conf  0.8029
31  r  43 18  conf  0.8539
43  r  31 18  conf  0.9322
16  r  43 31 17  conf  0.8028
31  r  43 16 17  conf  0.8383
43  r  31 16 17  conf  0.9177
16  r  43 31 12 17  conf  0.8016
31  r  43 16 12 17  conf  0.8377
43  r  31 16 12 17  conf  0.9171
16  r  43 31 12  conf  0.8017
31  r  43 16 12  conf  0.8378
43  r  31 16 12  conf  0.9172
16  r  43 31 18 17  conf  0.8006
31  r  43 16 18 17  conf  0.8365
43  r  31 16 18 17  conf  0.9158
16  r  43 31 18 12 17  conf  0.8002
31  r  43 16 18 12 17  conf  0.8361
43  r  31 16 18 12 17  conf  0.9154
16  r  43 31 18 12  conf  0.8003
31  r  43 16 18 12  conf  0.8362
43  r  31 16 18 12  conf  0.9155
16  r  43 31 18  conf  0.8006
31  r  43 16 18  conf  0.8366
43  r  31 16 18  conf  0.9159
16  r  43 31  conf  0.8029
31  r  43 16  conf  0.8384
43  r  31 16  conf  0.9178
31  r  43  conf  0.8566
43  r  31  conf  0.9348
21  r  43 17  conf  0.8565
43  r  21 17  conf  0.889
21  r  43 12 17  conf  0.855
43  r  21 12 17  conf  0.8875
21  r  43 12  conf  0.8551
43  r  21 12  conf  0.8876
21  r  43 18 17  conf  0.8538
43  r  21 18 17  conf  0.8861
21  r  43 18 12 17  conf  0.8534
43  r  21 18 12 17  conf  0.8857
21  r  43 18 12  conf  0.8535
43  r  21 18 12  conf  0.8857
21  r  43 18  conf  0.8539
43  r  21 18  conf  0.8862
21  r  43 16 17  conf  0.8383
43  r  21 16 17  conf  0.8681
21  r  43 16 12 17  conf  0.8377
43  r  21 16 12 17  conf  0.8675
21  r  43 16 12  conf  0.8378
43  r  21 16 12  conf  0.8676
21  r  43 16 18 17  conf  0.8365
43  r  21 16 18 17  conf  0.8661
21  r  43 16 18 12 17  conf  0.8361
43  r  21 16 18 12 17  conf  0.8657
21  r  43 16 18 12  conf  0.8362
43  r  21 16 18 12  conf  0.8658
21  r  43 16 18  conf  0.8366
43  r  21 16 18  conf  0.8662
21  r  43 16  conf  0.8384
43  r  21 16  conf  0.8682
21  r  43 31 17  conf  0.8028
43  r  21 31 17  conf  0.8352
21  r  43 31 12 17  conf  0.8016
43  r  21 31 12 17  conf  0.834
21  r  43 31 12  conf  0.8017
43  r  21 31 12  conf  0.834
21  r  43 31 18 17  conf  0.8006
43  r  21 31 18 17  conf  0.8328
21  r  43 31 18 12 17  conf  0.8002
43  r  21 31 18 12 17  conf  0.8324
21  r  43 31 18 12  conf  0.8003
43  r  21 31 18 12  conf  0.8325
21  r  43 31 18  conf  0.8006
43  r  21 31 18  conf  0.8329
43  r  21 31 16 17  conf  0.8194
43  r  21 31 16 12 17  conf  0.8189
43  r  21 31 16 12  conf  0.819
43  r  21 31 16 18 17  conf  0.8177
43  r  21 31 16 18 12 17  conf  0.8174
43  r  21 31 16 18 12  conf  0.8174
43  r  21 31 16 18  conf  0.8178
43  r  21 31 16  conf  0.8195
21  r  43 31  conf  0.8029
43  r  21 31  conf  0.8353
21  r  43  conf  0.8566
43  r  21  conf  0.8891
29  r  43 17  conf  0.8565
43  r  29 17  conf  0.8794
29  r  43 12 17  conf  0.855
43  r  29 12 17  conf  0.8779
29  r  43 12  conf  0.8551
43  r  29 12  conf  0.878
29  r  43 18 17  conf  0.8538
43  r  29 18 17  conf  0.8765
29  r  43 18 12 17  conf  0.8534
43  r  29 18 12 17  conf  0.876
29  r  43 18 12  conf  0.8535
43  r  29 18 12  conf  0.8761
29  r  43 18  conf  0.8539
43  r  29 18  conf  0.8766
29  r  43 16 17  conf  0.8383
43  r  29 16 17  conf  0.8581
29  r  43 16 12 17  conf  0.8377
43  r  29 16 12 17  conf  0.8575
29  r  43 16 12  conf  0.8378
43  r  29 16 12  conf  0.8576
29  r  43 16 18 17  conf  0.8365
43  r  29 16 18 17  conf  0.856
29  r  43 16 18 12 17  conf  0.8361
43  r  29 16 18 12 17  conf  0.8556
29  r  43 16 18 12  conf  0.8362
43  r  29 16 18 12  conf  0.8557
29  r  43 16 18  conf  0.8366
43  r  29 16 18  conf  0.8561
29  r  43 16  conf  0.8384
43  r  29 16  conf  0.8582
29  r  43 31 17  conf  0.8028
43  r  29 31 17  conf  0.8221
29  r  43 31 12 17  conf  0.8016
43  r  29 31 12 17  conf  0.8208
29  r  43 31 12  conf  0.8017
43  r  29 31 12  conf  0.8209
29  r  43 31 18 17  conf  0.8006
43  r  29 31 18 17  conf  0.8196
29  r  43 31 18 12 17  conf  0.8002
43  r  29 31 18 12 17  conf  0.8192
29  r  43 31 18 12  conf  0.8003
43  r  29 31 18 12  conf  0.8193
29  r  43 31 18  conf  0.8006
43  r  29 31 18  conf  0.8197
43  r  29 31 16 17  conf  0.806
43  r  29 31 16 12 17  conf  0.8055
43  r  29 31 16 12  conf  0.8056
43  r  29 31 16 18 17  conf  0.8042
43  r  29 31 16 18 12 17  conf  0.8039
43  r  29 31 16 18 12  conf  0.804
43  r  29 31 16 18  conf  0.8043
43  r  29 31 16  conf  0.8061
29  r  43 31  conf  0.8029
43  r  29 31  conf  0.8221
29  r  43  conf  0.8566
43  r  29  conf  0.8795
43  r    conf  1.0
17  r  27  conf  0.835
27  r  17  conf  0.9999
17  r  27 12  conf  0.8336
12  r  27 17  conf  0.8349
27  r  12 17  conf  0.9982
12  r  27  conf  0.835
27  r  12  conf  0.9983
17  r  27 18  conf  0.8325
18  r  27 17  conf  0.8349
27  r  18 17  conf  0.9967
17  r  27 18 12  conf  0.8321
12  r  27 18 17  conf  0.8324
18  r  27 12 17  conf  0.8335
27  r  18 12 17  conf  0.9962
12  r  27 18  conf  0.8325
18  r  27 12  conf  0.8336
27  r  18 12  conf  0.9963
18  r  27  conf  0.835
27  r  18  conf  0.9968
17  r  27 16  conf  0.8171
16  r  27 17  conf  0.8349
27  r  16 17  conf  0.9771
17  r  27 16 12  conf  0.8166
12  r  27 16 17  conf  0.817
16  r  27 12 17  conf  0.8335
27  r  16 12 17  conf  0.9763
12  r  27 16  conf  0.8171
16  r  27 12  conf  0.8336
27  r  16 12  conf  0.9764
17  r  27 16 18  conf  0.8154
18  r  27 16 17  conf  0.817
16  r  27 18 17  conf  0.8324
27  r  16 18 17  conf  0.9748
17  r  27 16 18 12  conf  0.815
12  r  27 16 18 17  conf  0.8153
18  r  27 16 12 17  conf  0.8165
16  r  27 18 12 17  conf  0.832
27  r  16 18 12 17  conf  0.9744
12  r  27 16 18  conf  0.8154
18  r  27 16 12  conf  0.8166
16  r  27 18 12  conf  0.8321
27  r  16 18 12  conf  0.9744
18  r  27 16  conf  0.8171
16  r  27 18  conf  0.8325
27  r  16 18  conf  0.9749
16  r  27  conf  0.835
27  r  16  conf  0.9772
31  r  27 17  conf  0.8349
27  r  31 17  conf  0.9348
31  r  27 12 17  conf  0.8335
27  r  31 12 17  conf  0.9334
31  r  27 12  conf  0.8336
27  r  31 12  conf  0.9334
31  r  27 18 17  conf  0.8324
27  r  31 18 17  conf  0.9321
31  r  27 18 12 17  conf  0.832
27  r  31 18 12 17  conf  0.9317
31  r  27 18 12  conf  0.8321
27  r  31 18 12  conf  0.9317
31  r  27 18  conf  0.8325
27  r  31 18  conf  0.9322
31  r  27 16 17  conf  0.817
27  r  31 16 17  conf  0.9177
31  r  27 16 12 17  conf  0.8165
27  r  31 16 12 17  conf  0.9171
31  r  27 16 12  conf  0.8166
27  r  31 16 12  conf  0.9172
31  r  27 16 18 17  conf  0.8153
27  r  31 16 18 17  conf  0.9158
31  r  27 16 18 12 17  conf  0.815
27  r  31 16 18 12 17  conf  0.9154
31  r  27 16 18 12  conf  0.815
27  r  31 16 18 12  conf  0.9155
31  r  27 16 18  conf  0.8154
27  r  31 16 18  conf  0.9159
31  r  27 16  conf  0.8171
27  r  31 16  conf  0.9178
31  r  27  conf  0.835
27  r  31  conf  0.9348
17  r  27 21  conf  0.8009
21  r  27 17  conf  0.8349
27  r  21 17  conf  0.889
12  r  27 21 17  conf  0.8008
21  r  27 12 17  conf  0.8335
27  r  21 12 17  conf  0.8875
12  r  27 21  conf  0.8009
21  r  27 12  conf  0.8336
27  r  21 12  conf  0.8876
18  r  27 21 17  conf  0.8008
21  r  27 18 17  conf  0.8324
27  r  21 18 17  conf  0.8861
21  r  27 18 12 17  conf  0.832
27  r  21 18 12 17  conf  0.8857
21  r  27 18 12  conf  0.8321
27  r  21 18 12  conf  0.8857
18  r  27 21  conf  0.8009
21  r  27 18  conf  0.8325
27  r  21 18  conf  0.8862
16  r  27 21 17  conf  0.8008
21  r  27 16 17  conf  0.817
27  r  21 16 17  conf  0.8681
21  r  27 16 12 17  conf  0.8165
27  r  21 16 12 17  conf  0.8675
21  r  27 16 12  conf  0.8166
27  r  21 16 12  conf  0.8676
21  r  27 16 18 17  conf  0.8153
27  r  21 16 18 17  conf  0.8661
21  r  27 16 18 12 17  conf  0.815
27  r  21 16 18 12 17  conf  0.8657
21  r  27 16 18 12  conf  0.815
27  r  21 16 18 12  conf  0.8658
21  r  27 16 18  conf  0.8154
27  r  21 16 18  conf  0.8662
16  r  27 21  conf  0.8009
21  r  27 16  conf  0.8171
27  r  21 16  conf  0.8682
31  r  27 21 17  conf  0.8008
27  r  21 31 17  conf  0.8352
27  r  21 31 12 17  conf  0.834
27  r  21 31 12  conf  0.834
27  r  21 31 18 17  conf  0.8328
27  r  21 31 18 12 17  conf  0.8324
27  r  21 31 18 12  conf  0.8325
27  r  21 31 18  conf  0.8329
27  r  21 31 16 17  conf  0.8194
27  r  21 31 16 12 17  conf  0.8189
27  r  21 31 16 12  conf  0.819
27  r  21 31 16 18 17  conf  0.8177
27  r  21 31 16 18 12 17  conf  0.8174
27  r  21 31 16 18 12  conf  0.8174
27  r  21 31 16 18  conf  0.8178
27  r  21 31 16  conf  0.8195
31  r  27 21  conf  0.8009
27  r  21 31  conf  0.8353
21  r  27  conf  0.835
27  r  21  conf  0.8891
29  r  27 17  conf  0.8349
27  r  29 17  conf  0.8794
29  r  27 12 17  conf  0.8335
27  r  29 12 17  conf  0.8779
29  r  27 12  conf  0.8336
27  r  29 12  conf  0.878
29  r  27 18 17  conf  0.8324
27  r  29 18 17  conf  0.8765
29  r  27 18 12 17  conf  0.832
27  r  29 18 12 17  conf  0.876
29  r  27 18 12  conf  0.8321
27  r  29 18 12  conf  0.8761
29  r  27 18  conf  0.8325
27  r  29 18  conf  0.8766
29  r  27 16 17  conf  0.817
27  r  29 16 17  conf  0.8581
29  r  27 16 12 17  conf  0.8165
27  r  29 16 12 17  conf  0.8575
29  r  27 16 12  conf  0.8166
27  r  29 16 12  conf  0.8576
29  r  27 16 18 17  conf  0.8153
27  r  29 16 18 17  conf  0.856
29  r  27 16 18 12 17  conf  0.815
27  r  29 16 18 12 17  conf  0.8556
29  r  27 16 18 12  conf  0.815
27  r  29 16 18 12  conf  0.8557
29  r  27 16 18  conf  0.8154
27  r  29 16 18  conf  0.8561
29  r  27 16  conf  0.8171
27  r  29 16  conf  0.8582
27  r  29 31 17  conf  0.8221
27  r  29 31 12 17  conf  0.8208
27  r  29 31 12  conf  0.8209
27  r  29 31 18 17  conf  0.8196
27  r  29 31 18 12 17  conf  0.8192
27  r  29 31 18 12  conf  0.8193
27  r  29 31 18  conf  0.8197
27  r  29 31 16 17  conf  0.806
27  r  29 31 16 12 17  conf  0.8055
27  r  29 31 16 12  conf  0.8056
27  r  29 31 16 18 17  conf  0.8042
27  r  29 31 16 18 12 17  conf  0.8039
27  r  29 31 16 18 12  conf  0.804
27  r  29 31 16 18  conf  0.8043
27  r  29 31 16  conf  0.8061
27  r  29 31  conf  0.8221
29  r  27 21 17  conf  0.8008
29  r  27 21  conf  0.8009
29  r  27  conf  0.835
27  r  29  conf  0.8795
43  r  27 17  conf  0.8349
27  r  43 17  conf  0.8565
43  r  27 12 17  conf  0.8335
27  r  43 12 17  conf  0.855
43  r  27 12  conf  0.8336
27  r  43 12  conf  0.8551
43  r  27 18 17  conf  0.8324
27  r  43 18 17  conf  0.8538
43  r  27 18 12 17  conf  0.832
27  r  43 18 12 17  conf  0.8534
43  r  27 18 12  conf  0.8321
27  r  43 18 12  conf  0.8535
43  r  27 18  conf  0.8325
27  r  43 18  conf  0.8539
43  r  27 16 17  conf  0.817
27  r  43 16 17  conf  0.8383
43  r  27 16 12 17  conf  0.8165
27  r  43 16 12 17  conf  0.8377
43  r  27 16 12  conf  0.8166
27  r  43 16 12  conf  0.8378
43  r  27 16 18 17  conf  0.8153
27  r  43 16 18 17  conf  0.8365
43  r  27 16 18 12 17  conf  0.815
